"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-01",,"62","27"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-02",,"59","36"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-03",,"56","43"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-04",,"63","40"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-05",,"65","37"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-06",,"62","41"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-07",,"70","48"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-08",,"71","45"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-09",,"71","56"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-10",,"74","58"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-11",,"58","33"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-12",,"52","26"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-13",,"59","24"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-14",,"49","35"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-15",,"42","23"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-16",,"53","18"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-17",,"56","41"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-18",,"42","25"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-19",,"46","23"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-20",,"48","24"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-21",,"56","21"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-22",,"49","42"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-23",,"54","44"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-24",,"48","39"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-25",,"41","32"
